# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
ptg000002l	cds	697169	698437	-	IIKNCJ_03630	ilvA	threonine ammonia-lyase IlvA	COG:COG1171, COG:E, EC:4.3.1.19, GO:0004794, GO:0006566, GO:0009097, GO:0030170, RefSeq:WP_000216853.1, SO:0001217, UniParc:UPI00004B5C74, UniRef:UniRef100_Q2FF63, UniRef:UniRef50_Q49Z16, UniRef:UniRef90_Q99SJ1
ptg000002l	cds	698452	699024	-	IIKNCJ_03635	leuD	3-isopropylmalate dehydratase small subunit	COG:COG0066, COG:E, EC:4.2.1.33, GO:0003861, GO:0009098, GO:0009316, RefSeq:WP_000718955.1, SO:0001217, UniParc:UPI000005425E, UniRef:UniRef100_Q2FF64, UniRef:UniRef50_Q02144, UniRef:UniRef90_Q6GF13
ptg000002l	cds	699025	700395	-	IIKNCJ_03640	leuC	3-isopropylmalate dehydratase large subunit	COG:COG0065, COG:E, EC:4.2.1.33, GO:0003861, GO:0009098, GO:0046872, GO:0051539, RefSeq:WP_000531823.1, SO:0001217, UniParc:UPI000005425B, UniRef:UniRef100_A7X4N3, UniRef:UniRef50_P80858, UniRef:UniRef90_Q6GF14
ptg000002l	cds	700409	701455	-	IIKNCJ_03645	leuB	3-isopropylmalate dehydrogenase	COG:CE, COG:COG0473, EC:1.1.1.85, GO:0000287, GO:0003862, GO:0005737, GO:0009098, GO:0051287, RefSeq:WP_000221958.1, SO:0001217, UniParc:UPI00004B5C73, UniRef:UniRef100_Q2FF66, UniRef:UniRef50_O66607, UniRef:UniRef90_Q2FWK2
ptg000002l	cds	701458	702987	-	IIKNCJ_03650	leuA	2-isopropylmalate synthase	COG:COG0119, COG:E, EC:2.3.3.13, GO:0003852, GO:0009098, RefSeq:WP_000094576.1, SO:0001217, UniParc:UPI00004B5C72, UniRef:UniRef100_Q2FF67, UniRef:UniRef50_Q8Y5R9, UniRef:UniRef90_Q2FF67
ptg000002l	cds	703017	704021	-	IIKNCJ_03655	ilvC	ketol-acid reductoisomerase	COG:COG0059, COG:EH, EC:1.1.1.86, GO:0000287, GO:0004455, GO:0009097, GO:0009099, GO:0050661, RefSeq:WP_000214557.1, SO:0001217, UniParc:UPI00004B5C71, UniRef:UniRef100_Q2FF68, UniRef:UniRef50_Q0VSB5, UniRef:UniRef90_Q2FF68
ptg000002l	cds	704158	704412	-	IIKNCJ_03660	ilvH	ACT domain-containing protein	COG:COG0440, COG:E, EC:2.2.1.6, KEGG:K01653, RefSeq:WP_000196911.1, SO:0001217, UniParc:UPI0000054257, UniRef:UniRef100_W8U989, UniRef:UniRef50_W8U989, UniRef:UniRef90_W8U989
ptg000002l	cds	704412	706181	-	IIKNCJ_03665	ilvB	biosynthetic-type acetolactate synthase large subunit	COG:COG0028, COG:EH, RefSeq:WP_000047820.1, SO:0001217, UniParc:UPI00004B5C70, UniRef:UniRef100_A0A133PW09, UniRef:UniRef50_Q4L7T7, UniRef:UniRef90_A0A0E1XAU7
ptg000002l	cds	706209	707897	-	IIKNCJ_03670	ilvD	dihydroxy-acid dehydratase	COG:COG0129, COG:EG, EC:4.2.1.9, GO:0000287, GO:0004160, GO:0009097, GO:0009099, GO:0051537, RefSeq:WP_001255791.1, SO:0001217, UniParc:UPI0000696CA8, UniRef:UniRef100_Q2FF71, UniRef:UniRef50_B9DMJ2, UniRef:UniRef90_B9DMJ2
ptg000002l	ncRNA	708002	708206	-	IIKNCJ_03675	rli60	Listeria sRNA rli60	RFAM:RF02414, SO:0000655
ptg000002l	cds	708375	708869	+	IIKNCJ_03680	tsaE	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	COG:COG0802, COG:J, SO:0001217, UniParc:UPI0000054254, UniRef:UniRef100_A0A0D3Q9U1, UniRef:UniRef50_A0A0D3Q9U1, UniRef:UniRef90_A0A0D3Q9U1
ptg000002l	cds	708850	709512	+	IIKNCJ_03685	tsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	COG:COG1214, COG:J, RefSeq:WP_001086744.1, SO:0001217, UniParc:UPI00004B5C6D, UniRef:UniRef100_A0A7U9J3P9, UniRef:UniRef50_A0A0D0SLT6, UniRef:UniRef90_A0A0D1HLG7
ptg000002l	cds	709485	709949	+	IIKNCJ_03690	rimI	ribosomal protein S18-alanine N-acetyltransferase	COG:COG0456, COG:J, RefSeq:WP_000372758.1, SO:0001217, UniParc:UPI00000CAA0A, UniRef:UniRef100_A0A0D6HBI8, UniRef:UniRef50_A0A8F8M056, UniRef:UniRef90_A0A0D6HBI8
ptg000002l	cds	709942	710967	+	IIKNCJ_03695	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	COG:COG0533, COG:J, EC:2.3.1.234, GO:0002949, GO:0005506, GO:0005737, GO:0061711, RefSeq:WP_000159034.1, SO:0001217, UniParc:UPI0000054250, UniRef:UniRef100_Q2FF75, UniRef:UniRef50_Q6I4E9, UniRef:UniRef90_Q2FF75
ptg000002l	cds	711069	712679	-	IIKNCJ_03700	mutS	DNA mismatch repair ATPase MutS	COG:COG0249, COG:L, RefSeq:WP_000106330.1, SO:0001217, UniParc:UPI000005424F, UniRef:UniRef100_A0A0D3Q9N4, UniRef:UniRef50_G5JKS6, UniRef:UniRef90_A0A8E0DAT6
ptg000002l	cds	713040	714968	-	IIKNCJ_03705	abc-f	ABC-F type ribosomal protection protein	COG:COG0488, COG:R, RefSeq:WP_000602049.1, SO:0001217, UniParc:UPI0000696CA7, UniRef:UniRef100_A0A1S6CRE2, UniRef:UniRef50_A0A6B5S7N6, UniRef:UniRef90_A0A6B5S7N6
ptg000002l	cds	715221	715856	+	IIKNCJ_03710	rex	redox-sensing transcriptional repressor Rex	COG:COG2344, COG:K, GO:0003677, GO:0003700, GO:0005737, GO:0045892, GO:0051775, RefSeq:WP_001283612.1, SO:0001217, UniParc:UPI000005424D, UniRef:UniRef100_A7X4L6, UniRef:UniRef50_B9DMK9, UniRef:UniRef90_A7X4L6
ptg000002l	cds	716160	717239	+	IIKNCJ_03715	yedE	Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains	COG:COG2391, COG:R, RefSeq:WP_000266883.1, SO:0001217, UniParc:UPI000005424C, UniRef:UniRef100_A0A1M3SDW3, UniRef:UniRef50_P33015, UniRef:UniRef90_A0A0U1MR79
ptg000002l	cds	717299	717523	+	IIKNCJ_03720	tusA	Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)	COG:COG0425, COG:JHO, RefSeq:WP_000581077.1, SO:0001217, UniParc:UPI00000D9F1B, UniRef:UniRef100_A0A133PW10, UniRef:UniRef50_A0A7U7JQM0, UniRef:UniRef90_A0A7U7JQM0
ptg000002l	cds	717731	718981	+	IIKNCJ_03725	amtB	Ammonia channel protein AmtB	COG:COG0004, COG:P, RefSeq:WP_001052270.1, SO:0001217, UniParc:UPI00000CAA84, UniRef:UniRef100_A0A1Q4GX85, UniRef:UniRef50_A0A0D0SEH5, UniRef:UniRef90_A0A1Q4GX85
ptg000002l	cds	719164	720114	+	IIKNCJ_03730	purR	DNA-binding transcriptional regulator, LacI/PurR family	COG:COG1609, COG:K, RefSeq:WP_000790330.1, SO:0001217, UniParc:UPI0000054249, UniRef:UniRef100_A0A0D6H9Y0, UniRef:UniRef50_P74892, UniRef:UniRef90_A0A0D6H9Y0
ptg000002l	cds	720263	721747	+	IIKNCJ_03735	sacC	Sucrose-6-phosphate hydrolase SacC, GH32 family	COG:COG1621, COG:G, RefSeq:WP_000141414.1, SO:0001217, UniParc:UPI0000054248, UniRef:UniRef100_A0A0D6HAE7, UniRef:UniRef50_Q05936, UniRef:UniRef90_A0A0H2WWU4
ptg000002l	cds	721744	722703	+	IIKNCJ_03740	rbsK	Sugar or nucleoside kinase, ribokinase family	COG:COG0524, COG:G, RefSeq:WP_001253312.1, SO:0001217, UniParc:UPI0000054247, UniRef:UniRef100_Q53645, UniRef:UniRef50_A0A0Y9VKF8, UniRef:UniRef90_A0A0Y9VKF8
ptg000002l	cds	723070	723786	-	IIKNCJ_03745	agrA	Accessory gene regulator protein A	COG:COG3279, COG:KT, GO:0000160, GO:0003677, GO:0005737, RefSeq:WP_000688492.1, SO:0001217, UniParc:UPI0000054244, UniRef:UniRef100_Q5HEG2, UniRef:UniRef50_Q5HMY2, UniRef:UniRef90_Q5HEG2
ptg000002l	cds	723805	725097	-	IIKNCJ_03750		Accessory gene regulator C	RefSeq:WP_001549202.1, SO:0001217, UniParc:UPI00015FD6DC, UniRef:UniRef100_A0A1E8WWT6, UniRef:UniRef50_O07911, UniRef:UniRef90_O07911
ptg000002l	cds	725122	725262	-	IIKNCJ_03755		50S ribosomal protein L34	RefSeq:WP_001093929.1, SO:0001217, UniParc:UPI0000054241, UniRef:UniRef100_Q53643, UniRef:UniRef50_Q53643, UniRef:UniRef90_Q53643
ptg000002l	cds	725259	725882	-	IIKNCJ_03760	agrB	accessory gene regulator AgrB	BlastRules:WP_001105707, EC:3.4.-.-, GO:0005886, GO:0006508, GO:0008233, GO:0009372, KEGG:K07813, SO:0001217, UniParc:UPI0000054240, UniRef:UniRef100_D5LFT3, UniRef:UniRef50_Q2FF88, UniRef:UniRef90_Q2FF88
ptg000002l	ncRNA	726034	726547	+	IIKNCJ_03765	RNAIII	RNAIII	RFAM:RF00503, SO:0000655
ptg000002l	cds	726064	726198	+	IIKNCJ_03770	hld	delta-hemolysin	GO:0005576, GO:0016020, GO:0019836, GO:0020002, GO:0044179, GO:0090729, NCBIProtein:AGU62139.1, RefSeq:WP_001549197.1, SO:0001217, UniParc:UPI0000000A3A, UniRef:UniRef100_Q2FWM8, UniRef:UniRef50_Q2FWM8, UniRef:UniRef90_Q2FWM8, VFDB:VFC0235, VFDB:VFG001292
ptg000002l	cds	726795	727580	-	IIKNCJ_03775	yafV	Hydrolase in agr operon	COG:C, COG:COG0388, EC:3.5.-.-, GO:0006807, GO:0016787, RefSeq:WP_000867960.1, SO:0001217, UniParc:UPI000005423D, UniRef:UniRef100_P55177, UniRef:UniRef50_P0DP65, UniRef:UniRef90_P0DP65
ptg000002l	cds	727941	728567	-	IIKNCJ_03780	fMR2	Fatty acid repression mutant protein (putative oxidoreductase)	COG:COG3560, COG:R, RefSeq:WP_000522384.1, SO:0001217, UniParc:UPI000005423C, UniRef:UniRef100_X5DRL9, UniRef:UniRef50_A0A0H3JV63, UniRef:UniRef90_A0A0H3JV63
ptg000002l	cds	728764	730017	+	IIKNCJ_03785	sdrH	Serine-aspartate repeat family protein, SdrH	RefSeq:WP_000120307.1, SO:0001217, UniParc:UPI0000696CA4, UniRef:UniRef100_A0A1S6B2U1, UniRef:UniRef50_A0A6J9WRD7, UniRef:UniRef90_A0A1S6B2U1
ptg000002l	cds	730042	730785	-	IIKNCJ_03790	mroQ	Membrane-embedded CAAX protease MroQ	COG:COG1266, COG:O, EC:3.4.-.-, GO:0004222, GO:0016020, GO:0071586, RefSeq:WP_000197635.1, SO:0001217, UniParc:UPI0000054238, UniRef:UniRef100_A0A0H2XEK8, UniRef:UniRef50_A0A0H2XEK8, UniRef:UniRef90_A0A0H2XEK8
ptg000002l	cds	730960	731244	+	IIKNCJ_03795	groES	co-chaperone GroES	COG:COG0234, COG:O, GO:0005524, GO:0005737, GO:0140662, RefSeq:WP_000917289.1, SO:0001217, UniParc:UPI0000000ED6, UniRef:UniRef100_A7X4J3, UniRef:UniRef50_A7X4J3, UniRef:UniRef90_A7X4J3
ptg000002l	cds	731320	732936	+	IIKNCJ_03800	groL	chaperonin GroEL	COG:COG0459, COG:O, EC:5.6.1.7, GO:0005524, GO:0005737, GO:0016853, GO:0042026, GO:0051082, GO:0140662, RefSeq:WP_000240645.1, SO:0001217, UniParc:UPI00004B5C68, UniRef:UniRef100_Q2FF95, UniRef:UniRef50_Q9KKF0, UniRef:UniRef90_Q08854
ptg000002l	cds	733847	734437	+	IIKNCJ_03805	xtmA	Phage terminase, small subunit	COG:COG3728, COG:X, KEGG:K07474, RefSeq:WP_001293058.1, SO:0001217, UniParc:UPI0000054235, UniRef:UniRef100_I2FGE4, UniRef:UniRef50_A0A0U1MR10, UniRef:UniRef90_A0A0U1MR10
ptg000002l	cds	734791	735132	+	IIKNCJ_03810		DUF3784 domain-containing protein	SO:0001217, UniParc:UPI0001699BC7, UniRef:UniRef100_A0A6K2K3C6, UniRef:UniRef50_A0A0H3K9H5, UniRef:UniRef90_A0A0H3K9H5
ptg000002l	cds	735297	735740	+	IIKNCJ_03815		Acetyltransferase, GNAT family	RefSeq:WP_000022887.1, SO:0001217, UniParc:UPI00000D9F0D, UniRef:UniRef100_A0A7U4FM85, UniRef:UniRef50_J9HAM4, UniRef:UniRef90_A0A7U7PWK4
ptg000002l	cds	736593	737900	-	IIKNCJ_03820	trkG	Trk-type K+ transport system, membrane component	COG:COG0168, COG:P, RefSeq:WP_001045079.1, SO:0001217, UniParc:UPI0000054232, UniRef:UniRef100_A0A0D3Q927, UniRef:UniRef50_Q4L3A1, UniRef:UniRef90_A0A8G2I1H9
ptg000002l	cds	738061	738972	+	IIKNCJ_03825		ABC transporter substrate-binding protein	RefSeq:WP_000825510.1, SO:0001217, UniParc:UPI0000054230, UniRef:UniRef100_Q93PN3, UniRef:UniRef50_Q93PN3, UniRef:UniRef90_Q93PN3
ptg000002l	cds	739034	739879	+	IIKNCJ_03830		Class I SAM-dependent methyltransferase	RefSeq:WP_000812010.1, SO:0001217, UniParc:UPI0000696CA3, UniRef:UniRef100_A0A5A8VID9, UniRef:UniRef50_A0A8G1LN16, UniRef:UniRef90_A0A8G1LN16
ptg000002l	cds	740251	741474	-	IIKNCJ_03835	dapE	putative succinyl-diaminopimelate desuccinylase	COG:COG0624, COG:E, EC:3.5.1.18, GO:0009014, GO:0009089, GO:0019877, GO:0046872, RefSeq:WP_000206639.1, SO:0001217, UniParc:UPI0000696CA2, UniRef:UniRef100_A0A1S6BAQ0, UniRef:UniRef50_Q5HKI1, UniRef:UniRef90_Q931I4
ptg000002l	cds	741909	742964	+	IIKNCJ_03840	lukH	bi-component leukocidin LukGH subunit H	BlastRules:WP_000791407, GO:0005576, GO:0051715, KEGG:K11038, RefSeq:WP_000791407.1, SO:0001217, UniParc:UPI0000052260, UniRef:UniRef100_Q2FFA2, UniRef:UniRef50_Q931I5, UniRef:UniRef90_Q931I5
ptg000002l	cds	742986	744002	+	IIKNCJ_03845	lukG	bi-component leukocidin LukGH subunit G	BlastRules:WP_000595324, GO:0005576, GO:0051715, RefSeq:WP_000595324.1, SO:0001217, UniParc:UPI0000696CA1, UniRef:UniRef100_Q2FFA3, UniRef:UniRef50_Q99SN8, UniRef:UniRef90_Q99SN8
ptg000002l	cds	744240	745064	-	IIKNCJ_03850	sph	sphingomyelin phosphodiesterase	COG:COG3568, COG:R, RefSeq:WP_000283440.1, SO:0001217, UniParc:UPI00000D9F09, UniRef:UniRef100_W8U4F1, UniRef:UniRef50_Q2FWP1, UniRef:UniRef90_W8U4F1
ptg000002l	cds	745121	746158	-	IIKNCJ_03855		Integrase	RefSeq:WP_000857199.1, SO:0001217, UniParc:UPI0000696CA0, UniRef:UniRef100_A0A5A8VGL6, UniRef:UniRef50_Q38460, UniRef:UniRef90_Q38460
ptg000002l	cds	746349	747062	-	IIKNCJ_03860	mazF	Endoribonuclease MazF	RefSeq:WP_001549185.1, SO:0001217, UniParc:UPI0000696C9F, UniRef:UniRef100_A0A0C6ELE9, UniRef:UniRef50_A0A0H2WYK8, UniRef:UniRef90_A0A0H2WYK8
ptg000002l	cds	747140	747322	-	IIKNCJ_03865		Cytosolic protein	RefSeq:WP_000705246.1, SO:0001217, UniParc:UPI00015FD6D3, UniRef:UniRef100_A0A1S5YPC0, UniRef:UniRef50_M9NSW6, UniRef:UniRef90_M9NSW6
ptg000002l	sorf	747378	747467	-	IIKNCJ_03870		DUF1980 domain-containing protein	SO:0001217, UniParc:UPI0002CB3BEA, UniRef:UniRef100_M9NS99, UniRef:UniRef50_M9NS99, UniRef:UniRef90_M9NS99
ptg000002l	cds	747526	747867	-	IIKNCJ_03875		Spiroplasma plectrovirus-related protein	RefSeq:WP_000591749.1, SO:0001217, UniParc:UPI0000054226, UniRef:UniRef100_M9NTH6, UniRef:UniRef50_M9NTH6, UniRef:UniRef90_M9NTH6
ptg000002l	cds	747873	748805	-	IIKNCJ_03880	dnaQ	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	COG:COG0847, COG:L, RefSeq:WP_000759682.1, SO:0001217, UniParc:UPI000009BB0A, UniRef:UniRef100_A0A0E0VQP8, UniRef:UniRef50_A0A0E0VQP8, UniRef:UniRef90_A0A0E0VQP8
ptg000002l	cds	748821	749534	-	IIKNCJ_03885		Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains	COG:COG2932, COG:X, RefSeq:WP_001031454.1, SO:0001217, UniParc:UPI0000054224, UniRef:UniRef100_M9QWZ2, UniRef:UniRef50_A0A2I6PF08, UniRef:UniRef90_A0A2I6PF08
ptg000002l	cds	749668	749931	+	IIKNCJ_03890		DNA-binding protein	RefSeq:WP_000854072.1, SO:0001217, UniParc:UPI0000054223, UniRef:UniRef100_M9NSW5, UniRef:UniRef50_A0A0M5TJV3, UniRef:UniRef90_M9NSW5
ptg000002l	cds	749947	750162	+	IIKNCJ_03895		DUF2829 domain-containing protein	RefSeq:WP_001025404.1, SO:0001217, UniParc:UPI00000C7FA5, UniRef:UniRef100_A0A062WB74, UniRef:UniRef50_A0A0N8VW94, UniRef:UniRef90_A0A0N8VW94
ptg000002l	cds	750151	750480	-	IIKNCJ_03900		Phage protein	RefSeq:WP_000180411.1, SO:0001217, UniParc:UPI0000696C9D, UniRef:UniRef100_A0A0E7XXR7, UniRef:UniRef50_A0A0U1MQF8, UniRef:UniRef90_A0A0U1MQF8
ptg000002l	cds	750531	751283	+	IIKNCJ_03905	kilAC	Phage antirepressor protein YoqD, KilAC domain	COG:COG3645, COG:X, RefSeq:WP_001148642.1, SO:0001217, UniParc:UPI0000696C9C, UniRef:UniRef100_A0A1S6ALZ8, UniRef:UniRef50_H1PVM2, UniRef:UniRef90_C5I631
ptg000002l	cds	751299	751475	+	IIKNCJ_03910		hypothetical protein	RefSeq:WP_001001356.1, SO:0001217, UniParc:UPI00003B1A91, UniRef:UniRef100_A0A2C9TR45, UniRef:UniRef50_A0A2C9TR45, UniRef:UniRef90_A0A2C9TR45
ptg000002l	cds	751472	751702	-	IIKNCJ_03915		LSM domain protein	SO:0001217, UniRef:UniRef50_A0A2T4Q1J4, UniRef:UniRef90_A0A7U7PYP6
ptg000002l	cds	751761	752081	+	IIKNCJ_03920		Prophage pi2 protein 07	COG:COG4707, COG:X, RefSeq:WP_001120199.1, SO:0001217, UniParc:UPI0000696C9A, UniRef:UniRef100_A0A5A8VPT4, UniRef:UniRef50_Q4L5G9, UniRef:UniRef90_A0A075LYF5
ptg000002l	cds	752078	752239	+	IIKNCJ_03925		Phage protein	RefSeq:WP_001285960.1, SO:0001217, UniParc:UPI00015FD6D1, UniRef:UniRef100_A0A1S5ZVX3, UniRef:UniRef50_A9CR58, UniRef:UniRef90_A0EWW5
ptg000002l	cds	752334	752594	+	IIKNCJ_03930		Phage protein	RefSeq:WP_001549178.1, SO:0001217, UniParc:UPI0000696C99, UniRef:UniRef100_A0A1S6AKM8, UniRef:UniRef50_A0A7U7PW73, UniRef:UniRef90_A0A7U7PW73
ptg000002l	cds	752634	752894	+	IIKNCJ_03935		DUF1108 domain-containing protein	RefSeq:WP_000291513.1, SO:0001217, UniParc:UPI0000696C98, UniRef:UniRef100_A0A1S5ZVU0, UniRef:UniRef50_A0A7U7JQI9, UniRef:UniRef90_A0A0H3KFS1
ptg000002l	cds	752903	753166	+	IIKNCJ_03940		Phage protein	RefSeq:WP_001205732.1, SO:0001217, UniParc:UPI00000D7769, UniRef:UniRef100_S4V6D2, UniRef:UniRef50_O80079, UniRef:UniRef90_O80079
ptg000002l	cds	753175	755118	+	IIKNCJ_03945		Nuclease SbcCD subunit C	RefSeq:WP_000700561.1, SO:0001217, UniParc:UPI0001698996, UniRef:UniRef100_A0A0H2XI78, UniRef:UniRef50_A0A2A4H9C9, UniRef:UniRef90_A0A0H3JWB0
ptg000002l	cds	755120	756040	+	IIKNCJ_03950		DNA single-strand annealing proteins	RefSeq:WP_000138475.1, SO:0001217, UniParc:UPI000009BBBB, UniRef:UniRef100_S4V7J5, UniRef:UniRef50_A0A2H4JDY2, UniRef:UniRef90_A0A7U7JQQ2
ptg000002l	cds	756253	756738	+	IIKNCJ_03955	phnP	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	COG:COG1235, COG:P, SO:0001217, UniParc:UPI0000696C96, UniRef:UniRef100_A0A2C9TI44, UniRef:UniRef50_A0A0C2H893, UniRef:UniRef90_A0A0U1MS49
ptg000002l	cds	756739	757209	+	IIKNCJ_03960	ssb	Single-stranded DNA-binding protein	COG:COG0629, COG:L, GO:0003697, GO:0006260, RefSeq:WP_000934753.1, SO:0001217, UniParc:UPI0000696C95, UniRef:UniRef100_A0A1S5YP95, UniRef:UniRef50_Q931K4, UniRef:UniRef90_Q931K4
ptg000002l	cds	757239	758132	+	IIKNCJ_03965	dnaD	DNA replication protein DnaD	COG:COG3935, COG:L, RefSeq:WP_000148333.1, SO:0001217, UniParc:UPI00000CA984, UniRef:UniRef100_A0A075M4D6, UniRef:UniRef50_O80085, UniRef:UniRef90_O80085
ptg000002l	cds	758139	758357	+	IIKNCJ_03970		Phage protein	RefSeq:WP_000338530.1, SO:0001217, UniParc:UPI000009B4CF, UniRef:UniRef100_A0A0E0VSB6, UniRef:UniRef50_A0A0E0VSB6, UniRef:UniRef90_A0A0E0VSB6
ptg000002l	cds	758366	758770	+	IIKNCJ_03975	rusA	RusA family crossover junction endodeoxyribonuclease	RefSeq:WP_000401977.1, SO:0001217, UniParc:UPI0000696C94, UniRef:UniRef100_A0A0H3JWA5, UniRef:UniRef50_Q4L3U3, UniRef:UniRef90_A0A0H3JWA5
ptg000002l	cds	758783	759151	+	IIKNCJ_03980		Phage protein	RefSeq:WP_000101288.1, SO:0001217, UniParc:UPI00000CAF10, UniRef:UniRef100_A0A0U1MQ67, UniRef:UniRef50_A0A0H2WYN6, UniRef:UniRef90_A0A075M052
ptg000002l	cds	759155	759397	+	IIKNCJ_03985		Phage family protein	RefSeq:WP_000131383.1, SO:0001217, UniParc:UPI0000696C92, UniRef:UniRef100_A0A1S5ZVY3, UniRef:UniRef50_A9CR79, UniRef:UniRef90_A0A0E1VL30
ptg000002l	cds	759406	759777	+	IIKNCJ_03990		Acetyltransferase	RefSeq:WP_001549172.1, SO:0001217, UniParc:UPI0000696C91, UniRef:UniRef100_A0A1S6BJ04, UniRef:UniRef50_A0A7U7PWE9, UniRef:UniRef90_A0A0H3U4X7
ptg000002l	cds	759770	760006	+	IIKNCJ_03995		Phi PVL orf 52-like protein	RefSeq:WP_001065101.1, SO:0001217, UniParc:UPI00000CAF0D, UniRef:UniRef100_A0A2C9TI47, UniRef:UniRef50_A9CR86, UniRef:UniRef90_A0A0E1XAX8
ptg000002l	cds	759996	760238	+	IIKNCJ_04000		Phage protein	RefSeq:WP_000700108.1, SO:0001217, UniParc:UPI00000CAF0C, UniRef:UniRef100_A0A2C9TIG1, UniRef:UniRef50_A0A133QJP2, UniRef:UniRef90_A0A7T1JPZ3
ptg000002l	cds	760231	760764	+	IIKNCJ_04005	dut	dUTP diphosphatase	RefSeq:WP_000181819.1, SO:0001217, UniParc:UPI0000696C90, UniRef:UniRef100_A0A0H3JSA7, UniRef:UniRef50_B9DJC8, UniRef:UniRef90_A0A5C8XBY4
ptg000002l	cds	760801	761046	+	IIKNCJ_04010		Phage protein	RefSeq:WP_001282074.1, SO:0001217, UniParc:UPI0000505B47, UniRef:UniRef100_A0A068A223, UniRef:UniRef50_A0A068A223, UniRef:UniRef90_A0A068A223
ptg000002l	cds	761043	761249	+	IIKNCJ_04015		DUF1381 domain-containing protein	RefSeq:WP_000195803.1, SO:0001217, UniParc:UPI000009C100, UniRef:UniRef100_M9NTF8, UniRef:UniRef50_A9CR91, UniRef:UniRef90_M9NTF8
ptg000002l	cds	761246	761632	+	IIKNCJ_04020		Phage protein	RefSeq:WP_000592207.1, SO:0001217, UniParc:UPI000009BA7C, UniRef:UniRef100_A0A8E0EE81, UniRef:UniRef50_A0A8E0EE81, UniRef:UniRef90_A0A8E0EE81
ptg000002l	cds	761629	761778	+	IIKNCJ_04025		Phage protein	RefSeq:WP_000595265.1, SO:0001217, UniParc:UPI00000D77EE, UniRef:UniRef100_A0A8E0EE81, UniRef:UniRef50_A0A8E0EE81, UniRef:UniRef90_A0A8E0EE81
ptg000002l	cds	761778	761978	+	IIKNCJ_04030		Phi PVL ORF 60-like protein	RefSeq:WP_000265043.1, SO:0001217, UniParc:UPI000009B286, UniRef:UniRef100_Q9MBQ6, UniRef:UniRef50_O80098, UniRef:UniRef90_O80098
ptg000002l	cds	762006	762422	+	IIKNCJ_04035		Phage transcriptional regulator	RefSeq:WP_000590122.1, SO:0001217, UniParc:UPI00000CACDE, UniRef:UniRef100_A0A7X1T332, UniRef:UniRef50_Q4L3V7, UniRef:UniRef90_A0A2X2M3E2
ptg000002l	cds	762654	762953	+	IIKNCJ_04040	mcrA	5-methylcytosine-specific restriction endonuclease McrA	COG:COG1403, COG:V, RefSeq:WP_000988336.1, SO:0001217, UniParc:UPI00003B180E, UniRef:UniRef100_A0A075LZI9, UniRef:UniRef50_G4KNU0, UniRef:UniRef90_G4KNU0
ptg000002l	cds	763083	763427	+	IIKNCJ_04045		Phage protein	RefSeq:WP_000402904.1, SO:0001217, UniParc:UPI00000CACB0, UniRef:UniRef100_A0A8D9Z586, UniRef:UniRef50_A0A291JML8, UniRef:UniRef90_A0A0H3U506
ptg000002l	cds	763424	765085	+	IIKNCJ_04050	ymfN	Phage terminase-like protein, large subunit, contains N-terminal HTH domain	COG:COG4626, COG:X, RefSeq:WP_000625088.1, SO:0001217, UniParc:UPI00000CADB1, UniRef:UniRef100_A0EWZ0, UniRef:UniRef50_C2X4J2, UniRef:UniRef90_A0A7U7JQH6
ptg000002l	cds	765101	766288	+	IIKNCJ_04055	beeE	phage portal protein	COG:COG4695, COG:X, RefSeq:WP_000025274.1, SO:0001217, UniParc:UPI000009C1F5, UniRef:UniRef100_A0EWZ1, UniRef:UniRef50_A0A068A211, UniRef:UniRef90_A0A068A211
ptg000002l	cds	766272	767009	+	IIKNCJ_04060	clpP	ATP-dependent protease ClpP, protease subunit	COG:COG0740, COG:O, RefSeq:WP_000642728.1, SO:0001217, UniParc:UPI00000CAB27, UniRef:UniRef100_A0A0E0VQE1, UniRef:UniRef50_A0A4Y9KE13, UniRef:UniRef90_A0A2K4ANN5
ptg000002l	cds	767033	768178	+	IIKNCJ_04065		phage major capsid protein	RefSeq:WP_000154559.1, SO:0001217, UniParc:UPI00000CAC20, UniRef:UniRef100_A0EWZ3, UniRef:UniRef50_A0EWZ3, UniRef:UniRef90_A0EWZ3
ptg000002l	cds	768198	768482	+	IIKNCJ_04070		Transcriptional terminator	RefSeq:WP_000238236.1, SO:0001217, UniParc:UPI00000CAD90, UniRef:UniRef100_A0EWZ4, UniRef:UniRef50_C8CH22, UniRef:UniRef90_C8CH22
